                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94502,                 3.7311,                 1.5776,                0.52471,                0.16191,                0.16327,                0.08418,                 1.5083,                 3.3577,                  2.274,             0.00029879,             0.00029879,             0.00029879
                      2,                0.95898,                 2.9477,                 1.5446,                 0.5848,                0.34246,                0.32508,                0.18837,                 1.3065,                 2.9597,                 2.1129,             0.00059583,             0.00059583,             0.00059583
                      3,                0.95752,                 2.5693,                 1.5333,                0.55096,                 0.2727,                0.15383,                0.07432,                 1.9479,                 4.9202,                 2.9443,             0.00088688,             0.00088688,             0.00088688
                      4,                0.94256,                 2.2805,                 1.5016,                0.68465,                 0.2956,                0.35708,                0.20024,                 1.5338,                 3.0399,                 2.3953,               0.000882,               0.000882,               0.000882
                      5,                0.92928,                 2.0911,                 1.5009,                0.57388,                0.50319,                 0.4889,                0.25973,                 1.3421,                 2.5691,                 2.2337,               0.000882,               0.000882,               0.000882
                      6,                0.90494,                 1.8466,                 1.4603,                0.55695,                0.44144,                0.41717,                0.24275,                 1.3946,                 2.4958,                 2.1508,               0.000873,               0.000873,               0.000873
                      7,                 0.9178,                 1.7288,                 1.4696,                0.69651,                0.38416,                0.47715,                0.27918,                 1.4274,                 2.3359,                 2.2572,               0.000864,               0.000864,               0.000864
                      8,                0.87587,                 1.5674,                 1.4437,                0.67995,                0.49399,                0.56159,                0.31894,                 1.3912,                  2.282,                 2.1872,             0.00085501,             0.00085501,             0.00085501
                      9,                0.85244,                 1.4676,                 1.4143,                0.86814,                0.52817,                 0.6771,                0.43479,                 1.2964,                  1.892,                 2.1078,             0.00084601,             0.00084601,             0.00084601
                     10,                 0.8121,                 1.4105,                 1.3952,                0.64237,                0.60645,                0.64795,                0.43589,                 1.1454,                  1.873,                 1.9344,             0.00083701,             0.00083701,             0.00083701
                     11,                0.79727,                 1.3374,                 1.3714,                0.68927,                0.57033,                0.67649,                0.46144,                  1.178,                 1.7037,                 1.9373,             0.00082801,             0.00082801,             0.00082801
                     12,                0.79409,                 1.2984,                 1.3648,                0.59695,                0.55415,                0.61685,                0.40861,                 1.3376,                 1.8381,                 2.2073,             0.00081901,             0.00081901,             0.00081901
                     13,                0.81135,                  1.253,                 1.3835,                0.77882,                0.67898,                0.75569,                0.47818,                 1.2799,                  1.605,                 2.0096,             0.00081001,             0.00081001,             0.00081001
                     14,                0.79674,                 1.2205,                 1.3675,                 0.7449,                0.55538,                0.70321,                0.43492,                 1.4102,                  1.849,                 2.1334,             0.00080101,             0.00080101,             0.00080101
                     15,                 0.7835,                 1.1836,                 1.3599,                 0.7774,                0.61426,                0.70145,                0.48759,                 1.1577,                 1.6931,                 1.9612,             0.00079201,             0.00079201,             0.00079201
                     16,                0.79449,                  1.201,                 1.3689,                0.59101,                0.64863,                0.75463,                0.50124,                 1.2285,                 1.5706,                 2.0104,             0.00078301,             0.00078301,             0.00078301
                     17,                0.73187,                 1.0918,                 1.3222,                0.63103,                0.59645,                0.60809,                0.43954,                 1.0577,                 2.0568,                 1.8142,             0.00077401,             0.00077401,             0.00077401
                     18,                0.71745,                 1.0702,                 1.2981,                0.60598,                0.64414,                0.65027,                0.46487,                 1.1652,                 1.7416,                 1.9376,             0.00076501,             0.00076501,             0.00076501
                     19,                0.70144,                 1.0171,                 1.2823,                0.86965,                0.56537,                0.75757,                0.51448,                 1.1296,                 1.5236,                 1.8996,             0.00075602,             0.00075602,             0.00075602
                     20,                0.71239,                 1.0037,                 1.2787,                0.77247,                0.67931,                0.75849,                0.52988,                 1.1395,                 1.4412,                 1.9145,             0.00074702,             0.00074702,             0.00074702
                     21,                0.69816,                 1.0102,                 1.2798,                0.77436,                 0.6437,                0.72919,                0.51162,                 1.1658,                 1.5892,                 1.8791,             0.00073802,             0.00073802,             0.00073802
                     22,                0.68439,                0.98242,                  1.272,                 0.8334,                0.67739,                0.79157,                0.58409,                 1.0009,                  1.299,                 1.7697,             0.00072902,             0.00072902,             0.00072902
                     23,                 0.6839,                0.93085,                 1.2585,                0.69121,                 0.7068,                0.76911,                0.54426,                 1.0941,                 1.4693,                 1.7991,             0.00072002,             0.00072002,             0.00072002
                     24,                0.67177,                0.94461,                 1.2554,                0.72806,                0.63115,                0.79195,                0.53018,                 1.0669,                 1.5389,                 1.8391,             0.00071102,             0.00071102,             0.00071102
                     25,                0.67639,                0.91821,                 1.2552,                0.79903,                0.60693,                0.75755,                0.54794,                 1.0372,                 1.4618,                   1.81,             0.00070202,             0.00070202,             0.00070202
                     26,                 0.6506,                 0.9223,                 1.2537,                 0.7391,                0.69662,                0.81036,                0.56977,                 1.0062,                 1.3737,                 1.7712,             0.00069302,             0.00069302,             0.00069302
                     27,                0.66241,                0.87681,                  1.238,                0.62131,                0.67441,                0.73644,                0.52282,                 1.1127,                 1.4538,                 1.8625,             0.00068402,             0.00068402,             0.00068402
                     28,                 0.6615,                0.86738,                 1.2436,                0.67204,                0.70163,                0.75631,                0.52052,                 1.0884,                  1.505,                 1.8539,             0.00067502,             0.00067502,             0.00067502
                     29,                0.64104,                 0.8605,                 1.2218,                0.81988,                 0.6817,                0.82256,                 0.5893,                 1.0346,                 1.3856,                 1.8286,             0.00066602,             0.00066602,             0.00066602
                     30,                0.62848,                0.84411,                 1.2311,                0.74147,                0.77916,                0.81978,                0.63524,                0.98409,                 1.1713,                 1.7035,             0.00065703,             0.00065703,             0.00065703
                     31,                0.61099,                0.82285,                 1.2017,                0.66661,                0.68764,                0.78458,                0.59801,                0.96152,                 1.4329,                 1.7083,             0.00064803,             0.00064803,             0.00064803
                     32,                0.62405,                0.79475,                 1.2183,                 0.5722,                 0.6795,                0.72898,                0.52209,                 1.1432,                 1.5525,                 1.9497,             0.00063903,             0.00063903,             0.00063903
                     33,                0.60954,                0.80762,                 1.2114,                0.73027,                0.73589,                 0.8082,                0.57891,                 0.9783,                 1.2792,                 1.7852,             0.00063003,             0.00063003,             0.00063003
                     34,                0.58649,                0.76796,                 1.1916,                0.58632,                0.66742,                0.75761,                0.53775,                 1.0507,                 1.4787,                 1.8179,             0.00062103,             0.00062103,             0.00062103
                     35,                0.60939,                 0.7835,                 1.1997,                  0.663,                0.70427,                0.79036,                0.51218,                 1.2393,                 1.3779,                 2.0284,             0.00061203,             0.00061203,             0.00061203
                     36,                0.60465,                0.79401,                 1.2002,                0.78564,                0.74305,                0.83871,                0.59776,                 1.0474,                 1.2865,                  1.784,             0.00060303,             0.00060303,             0.00060303
                     37,                0.60282,                0.75848,                 1.2095,                0.85746,                0.66394,                 0.8179,                0.59325,                0.98809,                 1.3055,                 1.7596,             0.00059403,             0.00059403,             0.00059403
                     38,                0.59708,                0.74689,                  1.199,                 0.7553,                0.67714,                0.76405,                0.56801,                 1.0536,                 1.3908,                 1.8255,             0.00058503,             0.00058503,             0.00058503
                     39,                 0.5756,                 0.7288,                 1.1845,                0.68085,                0.74402,                0.80688,                0.58231,                 1.0731,                 1.3072,                 1.9132,             0.00057603,             0.00057603,             0.00057603
                     40,                0.57601,                0.72475,                 1.1758,                0.73031,                0.67529,                0.77295,                0.54147,                 1.1251,                 1.4985,                 1.9021,             0.00056703,             0.00056703,             0.00056703
                     41,                0.56181,                0.71264,                 1.1626,                0.84535,                0.63522,                0.80214,                0.56452,                 1.0525,                 1.3043,                 1.8751,             0.00055804,             0.00055804,             0.00055804
                     42,                 0.5735,                0.69465,                 1.1847,                0.80819,                0.63088,                0.79504,                0.57761,                 1.0352,                 1.3607,                 1.8445,             0.00054904,             0.00054904,             0.00054904
                     43,                0.56069,                0.68677,                 1.1691,                0.80851,                0.69167,                0.80011,                0.57504,                 1.0146,                 1.3507,                 1.7863,             0.00054004,             0.00054004,             0.00054004
                     44,                0.55798,                0.67103,                 1.1739,                0.86357,                0.67669,                0.78144,                0.57591,                0.99678,                 1.3988,                 1.7785,             0.00053104,             0.00053104,             0.00053104
                     45,                0.54777,                0.67162,                 1.1596,                0.77013,                 0.7472,                0.83241,                0.61002,                 0.9498,                 1.2279,                  1.737,             0.00052204,             0.00052204,             0.00052204
                     46,                0.53965,                0.66373,                 1.1614,                0.79695,                0.71587,                0.79748,                0.55492,                  1.103,                 1.3782,                 1.9267,             0.00051304,             0.00051304,             0.00051304
                     47,                0.54645,                0.64588,                 1.1618,                0.74302,                0.70783,                 0.7979,                0.56831,                   1.04,                  1.347,                 1.8585,             0.00050404,             0.00050404,             0.00050404
                     48,                0.53545,                0.65714,                 1.1512,                0.71794,                0.69463,                0.77468,                0.55594,                0.98132,                  1.479,                 1.7705,             0.00049504,             0.00049504,             0.00049504
                     49,                0.53077,                0.62846,                 1.1416,                0.79171,                0.71187,                 0.7974,                0.57376,                 1.0466,                 1.5017,                  1.823,             0.00048604,             0.00048604,             0.00048604
                     50,                0.52539,                0.63725,                 1.1316,                0.77623,                0.81953,                0.85699,                0.61493,                0.97075,                 1.0062,                 1.7963,             0.00047704,             0.00047704,             0.00047704
                     51,                0.52057,                 0.6258,                 1.1409,                0.86613,                0.71562,                0.81647,                0.58771,                 1.0071,                 1.3108,                 1.7418,             0.00046804,             0.00046804,             0.00046804
                     52,                0.51856,                0.62351,                 1.1326,                0.77355,                0.73043,                0.82514,                 0.6017,                0.96476,                 1.3534,                 1.7666,             0.00045904,             0.00045904,             0.00045904
                     53,                0.52265,                0.61094,                 1.1336,                0.75667,                0.69351,                0.81108,                0.58861,                 1.0228,                 1.4584,                 1.8277,             0.00045005,             0.00045005,             0.00045005
                     54,                0.50937,                0.61057,                 1.1261,                 0.7521,                0.70899,                 0.8068,                0.59127,                 1.0345,                 1.5784,                 1.8015,             0.00044105,             0.00044105,             0.00044105
                     55,                0.49845,                 0.5824,                 1.1083,                0.88205,                0.70403,                0.78598,                0.59028,                0.98204,                 1.5932,                 1.7181,             0.00043205,             0.00043205,             0.00043205
                     56,                0.50743,                0.58407,                 1.1241,                0.77183,                0.76684,                0.82081,                0.59107,                0.98886,                 1.2563,                 1.8057,             0.00042305,             0.00042305,             0.00042305
                     57,                 0.4882,                 0.5898,                 1.1139,                0.80933,                 0.6987,                 0.8005,                 0.6049,                0.91246,                 1.4396,                 1.6703,             0.00041405,             0.00041405,             0.00041405
                     58,                0.49381,                0.55716,                  1.109,                0.75848,                0.70882,                0.78452,                0.58787,                 1.0059,                 1.4655,                 1.7769,             0.00040505,             0.00040505,             0.00040505
                     59,                0.48526,                0.56992,                 1.1066,                0.85205,                0.69411,                0.80529,                0.59872,                0.98582,                 1.2904,                 1.7903,             0.00039605,             0.00039605,             0.00039605
                     60,                0.47113,                0.56132,                 1.0935,                0.85092,                 0.6826,                0.83465,                0.63159,                0.92163,                 1.3193,                 1.6959,             0.00038705,             0.00038705,             0.00038705
                     61,                0.47258,                0.53974,                 1.1026,                0.79801,                0.67335,                0.80703,                0.58984,                  0.949,                 1.5978,                 1.6989,             0.00037805,             0.00037805,             0.00037805
                     62,                0.47918,                0.55386,                 1.0958,                0.86623,                0.70936,                0.82214,                0.58603,                  1.064,                 1.2157,                 1.8821,             0.00036905,             0.00036905,             0.00036905
                     63,                0.46684,                0.55331,                 1.0881,                0.88087,                0.68218,                0.78667,                0.58513,                 1.0139,                 1.4027,                 1.8181,             0.00036005,             0.00036005,             0.00036005
                     64,                0.46839,                0.54425,                 1.0886,                0.79138,                0.68579,                0.77894,                0.61125,                0.92975,                 1.3635,                 1.6824,             0.00035106,             0.00035106,             0.00035106
                     65,                0.45703,                0.52136,                 1.0862,                0.79391,                0.74448,                0.80019,                0.61557,                0.94291,                 1.4108,                 1.7391,             0.00034206,             0.00034206,             0.00034206
                     66,                0.46725,                0.51857,                 1.0918,                0.78331,                0.74184,                0.81097,                0.61532,                0.96654,                 1.3942,                 1.7659,             0.00033306,             0.00033306,             0.00033306
                     67,                0.46759,                0.51862,                 1.0948,                0.78262,                0.74319,                0.83011,                0.61982,                0.92985,                 1.3339,                 1.7376,             0.00032406,             0.00032406,             0.00032406
                     68,                0.46205,                0.53595,                 1.0915,                0.80815,                0.67856,                0.79423,                0.60752,                0.96504,                 1.4384,                 1.7491,             0.00031506,             0.00031506,             0.00031506
                     69,                0.46309,                0.51032,                 1.0856,                0.83088,                0.68563,                0.81465,                0.61672,                0.90276,                 1.3914,                 1.6669,             0.00030606,             0.00030606,             0.00030606
                     70,                0.45473,                0.50848,                 1.0939,                0.84025,                0.65909,                0.81754,                0.61429,                0.96161,                 1.5102,                 1.7445,             0.00029706,             0.00029706,             0.00029706
